"project_id","project_name","id","iid","merged_at","prepared_at","author_id","author_username","approver_id","approver_username"
"250833","GitLab.org___gitlab-runner","35212740","1539","2019-08-26T07:40:06.493Z","2019-08-19T03:26:46.266Z","2683848","eread","3585","axil"
"250833","GitLab.org___gitlab-runner","35212740","1539","2019-08-26T07:40:06.493Z","2019-08-19T03:26:46.266Z","2683848","eread","210928","sxuereb"
"250833","GitLab.org___gitlab-runner","35328412","1543","2019-08-26T08:35:27.924Z","2019-08-20T01:28:07.113Z","4155490","marcel.amirault","3585","axil"
"250833","GitLab.org___gitlab-runner","35328412","1543","2019-08-26T08:35:27.924Z","2019-08-20T01:28:07.113Z","4155490","marcel.amirault","210928","sxuereb"
"250833","GitLab.org___gitlab-runner","35535990","1547","2019-08-21T19:26:04.330Z","2019-08-21T19:16:50.745Z","3585","axil","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","33800884","1497","2019-07-25T07:42:10.321Z","2019-07-25T06:06:55.543Z","5332","bbodenmiller","210928","sxuereb"
"250833","GitLab.org___gitlab-runner","33698502","1491","2019-07-24T04:23:52.065Z","2019-07-23T15:50:32.290Z","210928","sxuereb","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","33634416","1485","2019-07-23T01:59:41.864Z","2019-07-22T16:23:21.298Z","210928","sxuereb","2683848","eread"
"250833","GitLab.org___gitlab-runner","56563542","2034","2020-04-22T17:17:57.375Z","2020-04-22T13:45:16.398Z","210928","sxuereb","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","50141767","1851","2020-04-07T22:26:08.005Z","2020-02-17T17:18:37.023Z","210928","sxuereb","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","32193953","1429","2019-06-27T08:57:42.297Z","2019-06-26T06:59:13.600Z","4155490","marcel.amirault","210928","sxuereb"
"250833","GitLab.org___gitlab-runner","32351502","1435","2019-06-28T07:32:28.909Z","2019-06-28T06:54:11.689Z","2683848","eread","210928","sxuereb"
"250833","GitLab.org___gitlab-runner","32738252","1451","2019-07-05T00:17:25.594Z","2019-07-04T14:32:39.369Z","210928","sxuereb","2683848","eread"
"250833","GitLab.org___gitlab-runner","32164556","1428","2019-06-27T01:15:30.772Z","2019-06-25T16:58:35.308Z","210928","sxuereb","2683848","eread"
"250833","GitLab.org___gitlab-runner","30632367","1393","2019-06-03T09:03:18.149Z","2019-06-03T08:49:25.364Z","210928","sxuereb","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","23863861","1183","2019-05-30T23:32:23.589Z","2019-02-08T13:19:51.748Z","210928","sxuereb","2683848","eread"
"250833","GitLab.org___gitlab-runner","31292847","1411","2019-06-21T14:08:00.484Z","2019-06-12T08:39:01.379Z","210928","sxuereb","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","31092507","1407","2019-06-11T11:06:12.517Z","2019-06-10T05:09:41.225Z","210928","sxuereb","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","25026698","1220","2019-03-07T07:20:28.601Z","2019-03-01T10:22:06.698Z","1990167","atanayno","210928","sxuereb"
"250833","GitLab.org___gitlab-runner","24825990","1219","2019-03-04T11:11:17.747Z","2019-02-26T16:24:53.418Z","215818","tmaczukin","210928","sxuereb"
"250833","GitLab.org___gitlab-runner","25514090","1241","2019-03-11T20:39:17.344Z","2019-03-11T10:22:22.563Z","12452","ayufan","210928","sxuereb"
"250833","GitLab.org___gitlab-runner","25514090","1241","2019-03-11T20:39:17.344Z","2019-03-11T10:22:22.563Z","12452","ayufan","215818","tmaczukin"
"250833","GitLab.org___gitlab-runner","13416275","945","2019-02-11T08:18:35.641Z","2018-06-27T04:12:36.424Z","5332","bbodenmiller","210928","sxuereb"
